Audio_Song,Lyric_Song,Arousal,Valence,Quadrant,Emotion,EnhancedEmotion,lyric_id,word_count,unique_word_count,lexical_diversity,avg_word_length,line_count,avg_words_per_line,positive_word_ratio,negative_word_ratio,sentiment_ratio,top_word_1,top_word_1_count,top_word_2,top_word_2_count,top_word_3,top_word_3_count,top_word_4,top_word_4_count,top_word_5,top_word_5_count,repetition_ratio,repeated_words_count,repeated_phrases_count,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,chroma_1_mean,chroma_1_std,chroma_2_mean,chroma_2_std,chroma_3_mean,chroma_3_std,chroma_4_mean,chroma_4_std,chroma_5_mean,chroma_5_std,chroma_6_mean,chroma_6_std,chroma_7_mean,chroma_7_std,chroma_8_mean,chroma_8_std,chroma_9_mean,chroma_9_std,chroma_10_mean,chroma_10_std,chroma_11_mean,chroma_11_std,chroma_12_mean,chroma_12_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,rolloff_mean,flatness_mean,contrast_mean,zcr_mean,tempo,rms_mean,rms_std,beat_strength,low_energy_ratio,energy_entropy,brightness,warmth,activity,harmonic_energy_ratio,harmonicity
A005,L055,0.7875,0.6875,Q1,Surprise,Energetic,L055,366,99,0.2704918032786885,3.3524590163934427,55,6.654545454545454,0.0382513661202185,0.0,14.0,got,21,look,21,dream,6,ve,6,do,6,0.7295081967213115,73,11,-150.0751,66.35681,77.17559,25.939495,-3.1833568,20.270355,25.149694,13.272857,-8.940858,11.117126,15.355531,11.170766,-8.967727,8.794615,5.665111,9.354888,-6.2350464,9.045842,8.122407,8.681672,-5.2109823,7.597342,1.9823722,8.010186,-5.1223955,8.532458,0.36516932,0.2444732,0.41066954,0.28631374,0.39201474,0.29229864,0.45561564,0.31982628,0.41776907,0.2836264,0.32426944,0.21627563,0.3875016,0.2863105,0.30118936,0.20784022,0.40189132,0.27978766,0.461673,0.329055,0.45800468,0.29483032,0.5201719,0.33939654,2757.337976563937,716.6402689805606,2599.107027592728,5882.04776539522,0.03244341,22.31040748353916,0.1313185558968653,[123.046875],0.06311697,0.032366417,1.5937935,0.46205607,10.148659,0.20662464,0.3363626,[0.06471955],0.24389042,0.5267288
A011,L061,0.68125,0.85625,Q1,Happiness,Bright,L061,164,41,0.25,3.2621951219512195,30,5.466666666666667,0.1036585365853658,0.0,17.0,love,17,ll,5,till,4,as,3,write,3,0.75,37,10,-64.17355,59.953857,97.05602,23.322165,-6.4413896,16.206278,13.911159,10.809833,-0.29570347,10.9774,1.7240297,9.105593,-6.6092343,7.8209424,3.6200721,8.039398,-3.3412535,10.413819,3.475632,7.451611,-5.4660215,8.041704,-2.0088797,6.846764,1.2038002,5.4609237,0.24835758,0.23168147,0.38997614,0.301294,0.45853144,0.34068736,0.28602722,0.21558586,0.3246488,0.31123284,0.29210472,0.26983678,0.38516593,0.3360587,0.20239787,0.19754678,0.27322677,0.2305187,0.44401363,0.32706064,0.3958923,0.28426427,0.3534788,0.32833585,2289.0811487082706,596.6639408929718,2475.2490719387797,4878.928831118179,0.021913903,22.933540538574725,0.0955871015141253,[135.99917763],0.1634218,0.05222114,1.3659594,0.5617368,10.248253,0.14390227,0.34794107,[0.18521025],0.62133974,4.312387
A014,L064,0.8625,0.7250000000000001,Q1,Surprise,Bright,L064,336,91,0.2708333333333333,3.517857142857143,67,5.014925373134329,0.0148809523809523,0.0,5.0,feels,26,just,17,like,17,yeah,15,ow,15,0.7291666666666666,41,5,-38.183197,48.34946,66.8095,26.6327,16.279213,16.488556,16.383986,14.566817,11.244569,9.83133,23.001797,9.415379,1.966846,9.133245,7.5577545,7.515582,1.292401,7.4750247,2.545934,7.882862,1.2439524,5.9198813,0.5758213,6.2422924,-2.6668324,6.0152373,0.4011392,0.27998486,0.42457888,0.25505483,0.48639166,0.30074435,0.4607698,0.27668545,0.47958624,0.2684221,0.40018958,0.23343389,0.43749914,0.24572526,0.5528226,0.294879,0.5962688,0.24524713,0.7069568,0.27772725,0.5498253,0.2577705,0.4432213,0.2619282,3173.3001228586777,873.5546834569018,3024.136993166098,6940.174700379741,0.054227766,20.241008068407897,0.1551003470878482,[117.45383523],0.18130052,0.055972952,1.546184,0.46558967,10.2598095,0.2656843,0.2750343,[0.17745368],0.39993173,1.4916097
A019,L069,0.78125,0.81875,Q1,Excitement,Playful,L069,221,82,0.3710407239819004,3.968325791855204,29,7.620689655172414,0.0090497737556561,0.0,2.0,girls,20,all,14,wish,10,could,10,california,10,0.6289592760180995,22,3,-81.44649,46.22282,89.64839,24.766592,-8.352371,16.615974,30.864931,12.550977,3.7594209,10.622279,9.961187,8.948925,-2.0527518,7.4692335,6.149129,7.353149,-3.925275,8.132609,12.529201,8.252395,-4.2222614,6.5968356,1.708085,6.4308667,-0.27682382,7.0619144,0.37177423,0.27086288,0.4221713,0.33597818,0.36718005,0.31682712,0.34624073,0.29307947,0.308675,0.2619805,0.25649658,0.21258387,0.38947043,0.32455406,0.36849147,0.28673837,0.4340251,0.32738146,0.41148755,0.30296564,0.37760377,0.2608994,0.43611425,0.3167969,2385.069610834444,665.6993412027426,2466.064616994296,5061.827725153589,0.018725306,23.62504223668706,0.1037125247919891,[117.45383523],0.1404003,0.037251934,1.3484685,0.5087123,10.28291,0.16572972,0.35400966,[0.13742129],0.58588296,3.7768314
A022,L072,0.76875,0.8374999999999999,Q1,Excitement,Excitement/Happiness,L072,155,50,0.3225806451612903,3.567741935483871,25,6.2,0.0129032258064516,0.0,2.0,miss,9,jamaica,9,re,7,not,5,suit,4,0.6774193548387096,37,7,-66.70811,77.85504,79.444626,20.028593,-6.8270655,17.075901,59.73419,14.268447,-9.140551,9.717675,23.994888,10.339656,-4.8700023,8.22161,7.8820596,6.9801574,-6.141148,9.42384,4.6191463,8.317307,-9.268393,8.363315,4.22532,6.740876,-8.724237,6.8978066,0.38115174,0.30106565,0.43355897,0.3058263,0.35767856,0.23731013,0.46967417,0.3249044,0.4340691,0.28423932,0.49721,0.3448266,0.39238903,0.27628082,0.41936538,0.2737871,0.53438014,0.32126626,0.3767986,0.2615927,0.2864967,0.27908692,0.2632158,0.2127241,2347.389856457364,489.9124402949706,2293.03846776403,4919.495252485246,0.008458077,24.66400536665337,0.1029661196304179,[123.046875],0.22046626,0.0880826,1.36207,0.49026626,10.198034,0.122708246,0.36790088,[0.22606403],0.535525,3.1480381
A024,L074,0.69375,0.84375,Q1,Happiness,Excitement/Happiness,L074,169,34,0.2011834319526627,3.408284023668639,43,3.930232558139535,0.0,0.0,0.0,life,11,mine,9,feels,9,like,7,fine,6,0.7988165680473372,34,7,-60.218365,71.81743,94.602585,17.058023,2.7996352,14.490757,24.252909,11.917379,9.479588,10.643513,17.783197,6.895637,-1.5073174,7.4502025,1.6591839,7.014828,-0.7859566,6.6865644,4.8425965,6.492249,-3.2464502,5.9804783,1.5157186,5.792094,-0.9140194,5.3189144,0.61877114,0.30654934,0.43297684,0.22456999,0.46533477,0.28279757,0.48779887,0.26965776,0.50642407,0.26188046,0.6227555,0.3185567,0.4714424,0.23440427,0.50224423,0.25458384,0.47680277,0.26519158,0.35335878,0.21066666,0.38458538,0.27039638,0.44689733,0.23989408,2254.789626921036,519.1104038399418,2578.8547309422847,5169.327075119727,0.021289114,21.264768065512317,0.0863229851973684,[99.38401442],0.17771034,0.07539338,1.3005433,0.5793177,10.1873255,0.15024088,0.31080377,[0.14717972],0.45352164,1.8316016
A039,L089,0.8875,0.89375,Q1,Excitement,Exuberant,L089,214,81,0.3785046728971962,3.9813084112149535,35,6.114285714285714,0.0093457943925233,0.0,2.0,dancing,8,queen,8,that,7,can,6,dance,5,0.6214953271028038,45,9,-52.128098,73.78604,74.88903,20.169098,-2.4430192,16.707396,14.934077,13.11149,-1.6068587,9.168907,0.19127192,9.658222,-0.49650875,7.99968,0.57122403,7.311459,-1.7539575,7.3076973,3.2119527,7.0602655,-3.7020414,7.7664146,1.6922004,7.9013586,-6.1539555,6.8783865,0.35032398,0.26485652,0.43024892,0.31912032,0.30288178,0.2531785,0.32270992,0.23686597,0.5235523,0.36348096,0.3455116,0.2238455,0.4188774,0.34685284,0.261696,0.20847332,0.33260038,0.2595748,0.37569275,0.29865813,0.2862624,0.22707257,0.38997194,0.32022938,2889.4044861504576,651.0256497008712,2774.87168264691,6154.887782235633,0.048586458,22.16841136872445,0.1452171868953173,[99.38401442],0.14641638,0.064166665,1.3509638,0.4722733,10.178597,0.19517693,0.35930514,[0.12126206],0.47210145,2.0703852
A042,L092,0.8187500000000001,0.8812500000000001,Q1,Excitement,Energetic,L092,136,26,0.1911764705882352,3.242647058823529,15,9.066666666666666,0.0,0.0,0.0,do,30,want,12,dance,12,baby,6,oh,3,0.8088235294117647,16,4,-103.07968,65.396164,161.12657,15.922209,-47.16268,14.420222,45.58952,12.412153,-28.855473,12.635064,19.847198,13.311976,-26.304844,10.808075,16.415234,10.206688,-13.164775,7.816042,6.1110373,11.043695,-5.184026,6.6053104,-2.92581,5.9144335,-0.23126006,6.0315886,0.46221578,0.3537922,0.30776483,0.21274701,0.37064075,0.3231084,0.30059436,0.27767923,0.3078825,0.20110758,0.5170108,0.33523795,0.3265202,0.21753393,0.30886456,0.28638932,0.19435902,0.1500813,0.39640012,0.27184725,0.4383966,0.31153458,0.25338057,0.14705282,1477.591587683614,238.8926294685981,1586.1873735980805,2931.475368059014,0.0009215073,23.850789640124443,0.0815425796812749,[73.828125],0.15480243,0.047503766,1.0652269,0.68844926,10.207802,0.049642164,0.33676478,[0.09523977],0.5798504,4.4426994
A043,L093,0.75625,0.78125,Q1,Excitement,Happy,L093,335,121,0.3611940298507463,3.680597014925373,49,6.836734693877551,0.0746268656716417,0.0029850746268656,12.5,beautiful,16,day,12,up,9,without,9,cuz,8,0.6388059701492538,49,6,-169.85753,76.41668,111.66173,30.878242,2.6674664,31.27209,37.57202,26.523947,-20.14435,19.610563,11.823466,21.506512,-16.504114,18.470953,18.533157,15.269896,-15.6672,14.725326,16.752665,15.373704,-5.4632053,13.81288,-0.73006546,12.041386,2.0113246,13.096058,0.38641867,0.30841258,0.37632754,0.2967538,0.43540782,0.33684412,0.34586108,0.29159465,0.38261095,0.29031524,0.50753164,0.35300958,0.39309612,0.2855679,0.43936688,0.3329805,0.44687623,0.30428246,0.50839293,0.34680054,0.41993833,0.3133433,0.35165372,0.27158624,1804.9270076501127,828.603514789643,2027.4649544662304,3905.296772801599,0.00095549773,26.27973575982536,0.0797658521075581,[143.5546875],0.15558453,0.096409105,1.8781939,0.6381624,10.065788,0.13281432,0.24375086,[0.18612407],0.46918094,1.4395577
A047,L097,0.7875,0.85625,Q1,Excitement,Excitement/Happiness,L097,312,103,0.3301282051282051,3.682692307692308,51,6.117647058823529,0.0096153846153846,0.0,3.0,la,18,all,6,where,6,eyes,5,this,5,0.6698717948717948,58,12,-149.82396,92.70219,68.82824,25.944324,21.710735,19.389633,18.6323,14.660312,5.29911,10.402024,6.6281786,12.000665,4.7724915,9.119081,2.1699412,8.216092,4.294966,8.658697,4.4285893,8.688585,-1.2546854,9.063849,1.2816309,7.5818133,-2.200228,7.159192,0.2985855,0.22950265,0.409628,0.31607595,0.35270536,0.24546233,0.45735133,0.29315996,0.5786371,0.34011546,0.4104754,0.3057939,0.3650518,0.31717187,0.35506573,0.26361912,0.46244797,0.33302638,0.3409346,0.27222273,0.31755093,0.27580386,0.3280503,0.26690897,3077.391611237077,953.1459029867508,3041.890825063245,6856.775007990756,0.049419533,21.501236204795102,0.1361958933664437,[99.38401442],0.07880094,0.04321075,2.083711,0.46640846,10.086868,0.25462505,0.27980226,[0.06526295],0.3476611,0.88879013
